#T	<E>/N	<M>/N	chi/N	C/N
2.6901	-0.6288	0.374184	0.521382	0.461925
2.7001	-0.619488	0.367984	0.520979	0.453775
2.7101	-0.629936	0.37608	0.514142	0.455127
2.7201	-0.614416	0.365344	0.501225	0.431667
2.7301	-0.617248	0.367152	0.49794	0.428042
2.7401	-0.61288	0.36424	0.498924	0.432961
2.7501	-0.613968	0.364312	0.494876	0.42703
2.7601	-0.609968	0.36312	0.492277	0.426885
2.7701	-0.609056	0.364776	0.486159	0.425412
2.7801	-0.607376	0.360208	0.481628	0.410767
2.7901	-0.610112	0.363496	0.491451	0.405697
2.8001	-0.603664	0.359584	0.486895	0.41052
2.8101	-0.611168	0.36352	0.49241	0.416835
2.8201	-0.596336	0.355096	0.469869	0.39016
2.8301	-0.602544	0.357136	0.480408	0.403522
2.8401	-0.59728	0.355208	0.466503	0.401504
2.8501	-0.602144	0.357928	0.474854	0.390648
2.8601	-0.605424	0.360264	0.462881	0.3776
2.8701	-0.591136	0.351528	0.463275	0.378487
2.8801	-0.592288	0.353664	0.454036	0.374008
2.8901	-0.58872	0.350696	0.452501	0.373493
2.9001	-0.595872	0.353232	0.451959	0.361034
2.9101	-0.594816	0.352664	0.45131	0.36842
2.9201	-0.586384	0.34768	0.445315	0.354872
2.9301	-0.587376	0.34784	0.444921	0.354744
2.9401	-0.582304	0.347936	0.441251	0.353115
2.9501	-0.585392	0.346344	0.434977	0.347339
2.9601	-0.591696	0.351952	0.442303	0.346336
2.9701	-0.583808	0.34668	0.436682	0.346126
2.9801	-0.584528	0.34908	0.441127	0.353488
2.9901	-0.581264	0.346896	0.427735	0.341538
3.0001	-0.57392	0.341216	0.426272	0.332353
3.0101	-0.5756	0.342488	0.419812	0.329736
3.0201	-0.574784	0.341384	0.414913	0.326004
3.0301	-0.57448	0.34064	0.422515	0.334175
3.0401	-0.5604	0.33596	0.40886	0.319002
3.0501	-0.56952	0.340704	0.416984	0.321239
3.0601	-0.570592	0.336672	0.407818	0.312941
3.0701	-0.569872	0.338976	0.418558	0.326501
3.0801	-0.567248	0.338992	0.397984	0.307354
3.0901	-0.562896	0.336064	0.405531	0.3074
3.1001	-0.569824	0.339432	0.412591	0.319142
3.1101	-0.562992	0.333832	0.394436	0.296286
3.1201	-0.558912	0.335128	0.392492	0.299228
3.1301	-0.556384	0.33132	0.388812	0.291475
3.1401	-0.57088	0.339104	0.392852	0.293301
3.1501	-0.553648	0.330832	0.394353	0.30052
3.1601	-0.554976	0.332736	0.390532	0.299485
3.1701	-0.557584	0.332224	0.38608	0.290737
3.1801	-0.553744	0.328808	0.37733	0.283058
3.1901	-0.556896	0.330784	0.383167	0.280145
3.2001	-0.552128	0.330224	0.379911	0.284081
3.2101	-0.54504	0.327136	0.374311	0.280698
3.2201	-0.551216	0.329544	0.374625	0.278632
3.2301	-0.546656	0.329144	0.365499	0.2733
3.2401	-0.545776	0.328888	0.371656	0.268881
3.2501	-0.545904	0.324728	0.368043	0.270825
3.2601	-0.542832	0.32456	0.364728	0.27124
3.2701	-0.538288	0.322312	0.359679	0.263988
3.2801	-0.549904	0.325048	0.369892	0.26475
3.2901	-0.538528	0.32588	0.354479	0.261835
3.3001	-0.53408	0.3188	0.352783	0.250129
3.3101	-0.532768	0.320128	0.351061	0.252269
3.3201	-0.530784	0.319888	0.34372	0.251311
3.3301	-0.536144	0.321208	0.360473	0.25651
3.3401	-0.535392	0.32432	0.353498	0.251998
3.3501	-0.531968	0.32136	0.347744	0.254212
3.3601	-0.531088	0.319912	0.350409	0.252561
3.3701	-0.530096	0.3172	0.337109	0.240669
3.3801	-0.521408	0.315112	0.33871	0.243586
3.3901	-0.531168	0.318912	0.34526	0.247492
3.4001	-0.525408	0.320752	0.342169	0.253718
3.4101	-0.522528	0.313112	0.332921	0.231104
3.4201	-0.518608	0.31628	0.336497	0.241552
3.4301	-0.525664	0.316872	0.338139	0.236924
3.4401	-0.515104	0.309152	0.328214	0.227508
3.4501	-0.518336	0.31488	0.329113	0.233005
3.4601	-0.524304	0.31484	0.32556	0.225402
3.4701	-0.508576	0.307512	0.319688	0.227962
3.4801	-0.520464	0.3128	0.332611	0.233658
3.4901	-0.51696	0.312424	0.323183	0.225301
3.5001	-0.517584	0.308728	0.318361	0.22157
3.5101	-0.51312	0.309712	0.314414	0.225146
3.5201	-0.511424	0.309272	0.320783	0.224493
3.5301	-0.518864	0.313064	0.322959	0.225132
3.5401	-0.506928	0.303376	0.310193	0.216665
3.5501	-0.508432	0.306496	0.313136	0.218013
3.5601	-0.5088	0.306416	0.308565	0.209315
3.5701	-0.502	0.30612	0.301585	0.211262
3.5801	-0.50376	0.302776	0.30975	0.211814
3.5901	-0.501616	0.306216	0.310245	0.21438
3.6001	-0.499776	0.30616	0.30371	0.210266
3.6101	-0.500448	0.30628	0.301678	0.205024
3.6201	-0.500448	0.302832	0.299941	0.207487
3.6301	-0.496448	0.303616	0.298502	0.207976
3.6401	-0.491056	0.30308	0.297656	0.200681
3.6501	-0.490736	0.298232	0.289104	0.195945
3.6601	-0.492352	0.299952	0.291078	0.196297
3.6701	-0.49648	0.303544	0.292286	0.196661
3.6801	-0.494128	0.300624	0.288946	0.196351
3.6901	-0.497952	0.303696	0.296814	0.196689
3.7001	-0.491776	0.298296	0.286894	0.192466
3.7101	-0.490704	0.300656	0.282754	0.191576
3.7201	-0.492656	0.298984	0.28628	0.188966
3.7301	-0.48824	0.298592	0.283565	0.186676
3.7401	-0.486224	0.295056	0.283038	0.186774
3.7501	-0.484336	0.298592	0.27718	0.185688
3.7601	-0.484512	0.300224	0.278924	0.183268
3.7701	-0.487712	0.297784	0.278252	0.185344
3.7801	-0.488064	0.29628	0.27556	0.183979
3.7901	-0.47792	0.295176	0.275873	0.18749
3.8001	-0.482	0.297584	0.272325	0.182339
3.8101	-0.472912	0.292496	0.268877	0.176163
3.8201	-0.476864	0.296456	0.274924	0.179618
3.8301	-0.476752	0.29116	0.269772	0.17327
3.8401	-0.466656	0.289304	0.259034	0.170557
3.8501	-0.47584	0.290648	0.266806	0.169926
3.8601	-0.468256	0.287568	0.262495	0.174738
3.8701	-0.473856	0.291856	0.264263	0.174157
3.8801	-0.46984	0.290704	0.2589	0.169504
3.8901	-0.464176	0.2882	0.263586	0.170328
3.9001	-0.475632	0.292088	0.26233	0.168767
3.9101	-0.477168	0.293864	0.271071	0.17858
3.9201	-0.472272	0.289224	0.258508	0.168149
3.9301	-0.462	0.286864	0.253992	0.169842
3.9401	-0.46576	0.289024	0.256687	0.164171
3.9501	-0.46424	0.288648	0.258781	0.165253
3.9601	-0.465968	0.289368	0.259557	0.169048
3.9701	-0.465312	0.288816	0.25045	0.159454
3.9801	-0.46416	0.286824	0.251934	0.160513
3.9901	-0.456912	0.285088	0.244451	0.160312
4.0001	-0.45368	0.28248	0.245387	0.15507
4.0101	-0.461536	0.285392	0.245822	0.155975
4.0201	-0.450992	0.281744	0.237595	0.152881
4.0301	-0.453968	0.284072	0.244096	0.154747
4.0401	-0.456144	0.285608	0.239843	0.155419
4.0501	-0.458816	0.286152	0.245303	0.154563
4.0601	-0.452896	0.281824	0.235891	0.151389
4.0701	-0.458448	0.28532	0.238535	0.152282
4.0801	-0.452384	0.28276	0.234657	0.149451
4.0901	-0.454752	0.285584	0.235829	0.148388
4.1001	-0.448576	0.278616	0.236201	0.148157
4.1101	-0.447728	0.283168	0.236507	0.154086
4.1201	-0.44928	0.278784	0.233531	0.148121
4.1301	-0.446528	0.280024	0.23053	0.1462
4.1401	-0.44504	0.279832	0.22777	0.141784
4.1501	-0.450896	0.282552	0.236057	0.145987
4.1601	-0.445104	0.278448	0.232257	0.14313
4.1701	-0.440848	0.276336	0.223899	0.138694
4.1801	-0.444432	0.279616	0.231726	0.146663
4.1901	-0.439136	0.275424	0.2229	0.139992
4.2001	-0.436096	0.277728	0.221206	0.139897
