#T	<E>/N	<M>/N	chi/N	C/N
3.6401	-0.674384	0.385688	0.42179	0.293186
3.6501	-0.666928	0.378296	0.412894	0.275588
3.6601	-0.65776	0.37432	0.401194	0.265973
3.6701	-0.654944	0.370208	0.409472	0.273828
3.6801	-0.650608	0.368232	0.407394	0.282187
3.6901	-0.646464	0.368808	0.401766	0.274557
3.7001	-0.652432	0.37412	0.399529	0.267475
3.7101	-0.645456	0.368736	0.39411	0.260078
3.7201	-0.645904	0.366128	0.394825	0.266053
3.7301	-0.651968	0.369376	0.403509	0.271784
3.7401	-0.641872	0.363424	0.387402	0.253819
3.7501	-0.632464	0.35872	0.388911	0.261938
3.7601	-0.634464	0.36456	0.382098	0.249783
3.7701	-0.641968	0.36892	0.389111	0.262132
3.7801	-0.637488	0.36504	0.381299	0.248497
3.7901	-0.628352	0.361424	0.386923	0.252853
3.8001	-0.627888	0.357744	0.379519	0.252905
3.8101	-0.623808	0.359224	0.377448	0.25041
3.8201	-0.616016	0.351664	0.363171	0.237399
3.8301	-0.617888	0.353584	0.363377	0.233612
3.8401	-0.626288	0.362648	0.364391	0.242307
3.8501	-0.611136	0.35176	0.365123	0.241828
3.8601	-0.621168	0.35912	0.363633	0.238149
3.8701	-0.606416	0.349576	0.352922	0.230613
3.8801	-0.617632	0.356072	0.368811	0.240067
3.8901	-0.597168	0.341696	0.35479	0.231369
3.9001	-0.605376	0.351024	0.347118	0.223537
3.9101	-0.601488	0.347288	0.342745	0.219645
3.9201	-0.596224	0.34512	0.344636	0.220494
3.9301	-0.590528	0.34088	0.343518	0.217288
3.9401	-0.595296	0.341376	0.33894	0.217528
3.9501	-0.59568	0.346192	0.345608	0.223595
3.9601	-0.591024	0.344256	0.340875	0.217187
3.9701	-0.5936	0.343056	0.340608	0.219148
3.9801	-0.577104	0.335144	0.322459	0.203939
3.9901	-0.585792	0.338872	0.333423	0.210063
4.0001	-0.587216	0.341976	0.335357	0.212268
4.0101	-0.577024	0.332704	0.316759	0.19719
4.0201	-0.5656	0.326768	0.314231	0.195889
4.0301	-0.570224	0.3334	0.313304	0.198648
4.0401	-0.568272	0.33056	0.317219	0.193949
4.0501	-0.56944	0.332872	0.313336	0.196406
4.0601	-0.573264	0.33692	0.321287	0.198775
4.0701	-0.570064	0.335	0.306667	0.188246
4.0801	-0.554976	0.324488	0.301955	0.189418
4.0901	-0.565168	0.330768	0.311131	0.194379
4.1001	-0.56168	0.329088	0.303317	0.18714
4.1101	-0.557024	0.326272	0.307062	0.190294
4.1201	-0.561888	0.326992	0.30351	0.187736
4.1301	-0.554704	0.32648	0.296758	0.183719
4.1401	-0.55712	0.327168	0.304525	0.190086
4.1501	-0.55008	0.321928	0.290731	0.175975
4.1601	-0.559488	0.331272	0.301752	0.185028
4.1701	-0.551056	0.32552	0.29101	0.173475
4.1801	-0.557952	0.325824	0.29752	0.184047
4.1901	-0.550768	0.326952	0.29622	0.183182
4.2001	-0.549808	0.326112	0.298963	0.183459
4.2101	-0.558688	0.331608	0.298488	0.18122
4.2201	-0.533376	0.315576	0.280378	0.168474
4.2301	-0.535328	0.314344	0.280027	0.168877
4.2401	-0.528256	0.312008	0.278319	0.168644
4.2501	-0.533408	0.31168	0.27115	0.161975
4.2601	-0.535136	0.316496	0.279756	0.169413
4.2701	-0.534112	0.318952	0.279256	0.171119
4.2801	-0.531824	0.314808	0.278774	0.168157
4.2901	-0.539072	0.321408	0.281343	0.168855
4.3001	-0.53208	0.314744	0.274713	0.164033
4.3101	-0.520576	0.310992	0.264336	0.158065
4.3201	-0.519696	0.308072	0.2634	0.157409
4.3301	-0.52848	0.316136	0.272691	0.164832
4.3401	-0.515792	0.310976	0.265759	0.159607
4.3501	-0.52224	0.311968	0.261339	0.151648
4.3601	-0.516768	0.310504	0.263147	0.157622
4.3701	-0.508928	0.302312	0.255881	0.151685
4.3801	-0.511056	0.306728	0.256216	0.15166
4.3901	-0.511664	0.306696	0.257137	0.150569
4.4001	-0.507648	0.30324	0.253067	0.148375
4.4101	-0.50144	0.299392	0.246527	0.148226
4.4201	-0.49472	0.294376	0.239807	0.141466
4.4301	-0.50368	0.302864	0.252965	0.150082
4.4401	-0.509152	0.305232	0.246903	0.142807
4.4501	-0.506128	0.304248	0.250279	0.148756
